portfolio_id,return
PF00001001,0.02528416729632147
PF00001004,0.02528416729632147
PF00001009,0.02528416729632147
PF00001013,0.02528416729632147
PF00001014,0.02528416729632147
PF00001015,0.02528416729632147
PF00001017,0.02528416729632147
PF00001023,0.02528416729632147
PF00001024,0.02528416729632147
PF00001025,0.05617621743697478
PF00001028,0.02528416729632147
PF00001032,0.02528416729632147
PF00001036,0.02528416729632147
PF00001041,0.02528416729632147
PF00001045,0.02528416729632147
PF00001047,0.02528416729632147
PF00001049,0.02528416729632147
PF00001053,0.057397718837535014
PF00001060,0.02528416729632147
PF00001067,0.02528416729632147
PF00001068,0.02528416729632147
PF00001069,0.02528416729632147
PF00001077,0.02528416729632147
PF00001078,0.02528416729632147
PF00001085,0.02528416729632147
PF00001086,0.057397718837535014
PF00001087,0.02528416729632147
PF00001088,0.02528416729632147
PF00001092,0.02528416729632147
PF00001095,0.02528416729632147
PF00001099,0.02528416729632147
PF00001100,0.02528416729632147
PF00001104,0.02528416729632147
PF00001105,0.026614179429590025
PF00001107,0.026614179429590025
PF00001108,0.05676503113700025
PF00001112,0.026614179429590025
PF00001119,0.026614179429590025
PF00001123,0.026614179429590025
PF00001126,0.026614179429590025
PF00001132,0.02528416729632147
PF00001135,0.02528416729632147
PF00001145,0.02528416729632147
PF00001148,0.02528416729632147
PF00001153,0.02528416729632147
PF00001155,0.05800105217086835
PF00001161,0.02528416729632147
PF00001164,0.02528416729632147
PF00001165,0.02528416729632147
PF00001171,0.05800105217086835
PF00001178,0.02528416729632147
PF00001179,0.030096000000000005
PF00001180,0.05800105217086835
PF00001194,0.02528416729632147
PF00001199,0.02528416729632147
PF00001198,0.027148134068774588
PF00001203,0.02528416729632147
PF00001204,0.02528416729632147
PF00001209,0.05800105217086835
PF00001210,0.02528416729632147
PF00001218,0.02528416729632147
PF00001220,0.02528416729632147
PF00001223,0.02528416729632147
PF00001225,0.02528416729632147
PF00001227,0.02528416729632147
PF00001230,0.05800105217086835
PF00001233,0.02528416729632147
PF00001236,0.02528416729632147
PF00001238,0.02528416729632147
PF00001239,0.0579968168767507
PF00001241,0.0579968168767507
PF00001243,0.02528416729632147
PF00001244,0.02528416729632147
PF00001245,0.0579968168767507
PF00001253,0.02528416729632147
PF00001255,0.02528416729632147
PF00001258,0.02528416729632147
PF00001260,0.02528416729632147
PF00001262,0.02528416729632147
PF00001264,0.02528416729632147
PF00001265,0.02528416729632147
PF00001270,0.05800105217086835
PF00001274,0.02528416729632147
PF00001277,0.02528416729632147
PF00001282,0.02528416729632147
PF00001283,0.02528416729632147
PF00001285,0.02528416729632147
PF00001288,0.02528416729632147
PF00001290,0.02528416729632147
PF00001294,0.02528416729632147
PF00001296,0.02528416729632147
PF00001303,0.02528416729632147
PF00001305,0.02528416729632147
PF00001306,0.02528416729632147
PF00001309,0.02528416729632147
PF00001310,0.02528416729632147
PF00001312,0.02528416729632147
PF00001313,0.056817999999999994
PF00001316,0.02528416729632147
PF00001319,0.02528416729632147
PF00001324,0.02528416729632147
PF00001325,0.02528416729632147
PF00001331,0.02528416729632147
PF00001333,0.05489799983277429
PF00001334,0.02528416729632147
PF00001335,0.02528416729632147
PF00001340,0.02528416729632147
PF00001345,0.02528416729632147
PF00001348,0.05587070276599667
PF00001352,0.02528416729632147
PF00001354,0.02528416729632147
PF00001355,0.05489799983277429
PF00001356,0.05489799983277429
PF00001368,0.02528416729632147
PF00001370,0.02528416729632147
PF00001372,0.02528416729632147
